,title,internal_id,url,description,responsibilities,qualifications,location,category,company,publish_date
551,48377-技术美术TA（深圳 / 上海）,81970,http://careers.tencent.com/jobdesc.html?postId=1425663847980605440,,和引擎程序、3D美术合作，实现各种表现效果； 负责画面渲染品质提升，美术资源和画面的性能优化； 制定美术制作规范，编写shader和工具插件优化工作流； 持续学习业内新技术，并将其引入团队。,"2年以上技术美术工作经验； 熟练运用maya, 3Dmax等工具，并能编写简单的脚本； 掌握一定的Shader编写能力； 热爱游戏行业，善于研究新技术，有较好的沟通能力和抗压能力； 熟悉UE4或Unity3D游戏开发者优先，有完整手游项目开发经历者优先。",Shenzhen,Design & Art,Tencent,2022-06-27
552,31504-腾讯云K8S容器技术工程师（CSIG全资子公司）,90144,http://careers.tencent.com/jobdesc.html?postId=1509481853512327168,,参与客户使用腾讯云容器平台过程中提供 超大规模容器平台和调度系统 的架构解决方案、运维及疑难问题定位工作。 1、 参与腾讯云容器云平台的核心模块调优与问题定位 ，支持现网腾讯云客户现网服务的 无状态、有状态服务，大数据、AI作业编排 调度等问题的定位解决。 2、 参与为腾讯云客户提供超大规模调度系统、高性能可扩展的弹性 伸缩系统等设计、性能优化等提供解决方案； 3、 参与超大规模容器集群的问题定位，包括容器 技术、操作系统 / 内核、网络、存储等相关技术栈 4、 各类技术、使用文档输出总结 5、 能够独立负责一个k8s模块或一个技术方向（存储、网络、调度）的演进和推进 6、 对技术和业务有前瞻性的思考，参与容器领域方向性的决策并推进落地,"1、 熟悉Linux系统、TCP / IP网络协议等计算机基础 知识； 2、 熟悉Golang语言开发，同时熟悉Java, Python, Shell等其他一种或多种语言，有独立解决各种系统问题的能力，对Golang语言有深刻的理解者优先考虑 3、 有Kubernetes / Docker项目经验的同学优先， 熟悉源码和原理者加分； 4、 有Docker / Kubernetes / lstio二次开发，扩展幵发者、社区经验者优先； 5、 对linux内核有一定了解，知道一般问题的定位方向和手段，具备Linux内核开发能力者优先 6、 有良好的沟通能力与自我驱动能力，愿意投身云原生领域的浪潮中。 通过腾讯云从业资格证或同等资格认证的优先录取 注：此岗位为腾讯集团旗下全资子公司编制岗位 工作地：重庆 / 西安",Chongqing,Technology,Tencent,2022-06-27
553,31504-腾讯云容器运营开发工程师（CSIG全资子公司）,90145,http://careers.tencent.com/jobdesc.html?postId=1509481853793345536,,1、负责通讯云基础设施平台系统的架构设计和开发 2、基于容器和DevOps技术理念研发自动化智能化运营支撑系统。 3、负责容器周边运营工具系统建设，如ETCD集群运维平台的稳定性、运维能力建设，服务于公司内外部业务。 注：此岗位为腾讯集团旗下全资子公司编制岗位,1. 本科及以上学历，2年以上开发经验， 熟悉linux操作系统，了解Shell，有linux网络编程经验。 2. 熟练掌握GO / Python / C++至少一种开发语言，熟悉HTML / JS / Css以及HTTP原理。 3. 熟练掌握MySql数据库，消息队列，redis等nosql技术 4. 具有良好的学习能力、沟通能力、团队合作意识； 强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长。 5、熟悉容器 / Kubernetes / serverless等云原生技术理念，有自动化运维系统开发经验者优先。 通过腾讯云从业资格证或同等资格认证的优先录取 工作地：重庆 / 西安,Xi'an,Technology,Tencent,2022-06-27
554,37092-（高级）海外知名射击厂商 / IP-厂商合作管理（Global Studio Cooperation Management）,79233,http://careers.tencent.com/jobdesc.html?postId=1405362870471892992,,- 评估海外游戏项目水准与潜力，共同参与游戏引进评估；与发行团队密切合作，共同拓展海外发行市场，形成自有竞争力； - 与开发商沟通配合，根据产品与不同发行区域用户特点、发行策略特点，规划产品版本内容规划； - 对全球射击及对战品类产品进行研究与分析，洞察海外市场机会与用户诉求，挖掘新的产品机会方向； - 负责具体产品玩法、系统的优化和跟进执行，从测试到上线运营的效果跟踪与问题解决。,- 5年及以上游戏行业工作经验； - 熟悉海外市场，有至少一款上线产品，完整海外发行运营经验； - 对于市场主流、新兴玩法产品具有清晰和深度的理解，能够对于用户以及产品玩法进行有效分析，指导产品计划； - 熟练掌握英语，可作为工作语言无障碍沟通； - 具备和海外厂商的合作经验，能够结合产品特点、厂商需求进行产品内容规划、发行策略规划 ； - 具备较强的沟通能力和技巧，能够应对跨部门、跨公司、跨文化的合作交流； - 对射击类、竞技类产品熟悉者优先。,Shenzhen,Product,Tencent,2022-06-27
555,37092-（高级）全球知名厂商 / IP-射击游戏策划（Senior Shooter Game Designer ）,79232,http://careers.tencent.com/jobdesc.html?postId=1405362869356208128,,1、参与大型IP或海外大厂射击品类游戏开发过程中的创新玩法规则设计，提供产品优化方案，并推动落地并验收； 2、负责规划及跟进版本策划内容，包含：玩法、地图、系统、可用性等各个方面，并提出优化建议； 3、 能够熟练数据、用户等手段提炼和梳理用户需求； 4、 在策划 / 测试 / 上线阶段敏锐的发现版本问题，定位背后的原因，提出优化方案，提高游戏运营指标。,1、本科以上学历，5年游戏行业工作经验，需要有游戏研发或者研发合作经验； 2、对游戏有较好的认识和感悟，游戏经验丰富，熟悉多种类型游戏，热爱射击游戏； 3、良好的团队协作能力，能承受一定工作压力； 4、有丰富的想象力和创造力，能够创作原创概念； 5、有卓越的写作和口头完善表达和交流思想的能力，能够和合作团队保持和睦的工作关系； 6、有主策 / 核心策划经验者优先； 7、有较强英语沟通能力者优先。,Shenzhen,Product,Tencent,2022-06-27
556,15575-《王者荣耀》社区产品服务器开发（成都）,86476,http://careers.tencent.com/jobdesc.html?postId=1465138169384017920,,负责王者荣耀社区App的服务器架构设计与搭建与性能优化 负责王者数据服务平台设计和开发 负责App后端通用基础能力建设 负责团队大数据计算能力建设,"计算机相关专业本科及以上学历 至少3年以上Linux服务器端开发经验 精通Go语言（有Java经验更佳），具备高并发、高可靠系统架构设计经验 对接入层网关 / 大数据计算 / 监控系统 / IM系统（一个或多个）领域有深入了解 扎实的计算机基础知识，能够快速学习掌握新的技能 良好的沟通表达能力及团队协作精神，有较强主动性和责任心 熟悉TCP / IP协议，HTTP协议，有grpc,trpc-go开发经验者优先 拥有良好的代码习惯，有开源社区贡献经验者优先 有社区类产品后台开发经验者优先",Chengdu,Technology,Tencent,2022-06-27
557,41071-腾讯会议Linux开发岗位（CSIG全资子公司）,76004,http://careers.tencent.com/jobdesc.html?postId=1379753993869205504,,1、负责腾讯云会议Linux客户端相关业务需求开发 2、负责视频会议业务开发； 3、负责视频会议稳定性及性能优化； 4、负责视频会议客户反馈问题跟进及效率工具开发；,1. 本科及以上学历，计算机或软件工程相关专业；  2. 2年以上Linux开发经验，计算机基础扎实，熟悉主流UI框架(QT)； 3. 熟悉X11、 wayland 系统 4. 掌握linux下性能、crash 分析工具 5. 熟悉C++语言，具备良好的编码风格，熟练代码管理工具git； 6. 具备扎实的数据结构和算法基础； 7. 具备良好的分析解决问题能力，良好的学习和分享习惯，工作积极主动，责任心强； 8. 有跨平台开发经验或音视频开发经验者优先。  备注：此岗位为腾讯集团旗下全资子公司编制岗位 通过腾讯云从业资格证或同等资格认证的优先录取,Xi'an,Technology,Tencent,2022-06-27
558,41071-腾讯会议Linux开发岗位（CSIG全资子公司）,76003,http://careers.tencent.com/jobdesc.html?postId=1379753992917098496,,1、负责腾讯云会议Linux客户端相关业务需求开发 2、负责视频会议业务开发； 3、负责视频会议稳定性及性能优化； 4、负责视频会议客户反馈问题跟进及效率工具开发；,1. 本科及以上学历，计算机或软件工程相关专业； 2. 2年以上Linux开发经验，计算机基础扎实，熟悉主流UI框架(QT)； 3. 熟悉X11、 wayland 系统 4. 掌握linux下性能、crash 分析工具 5. 熟悉C++语言，具备良好的编码风格，熟练代码管理工具git； 6. 具备扎实的数据结构和算法基础； 7. 具备良好的分析解决问题能力，良好的学习和分享习惯，工作积极主动，责任心强； 8. 有跨平台开发经验或音视频开发经验者优先。  备注：此岗位为腾讯集团旗下全资子公司编制岗位 通过腾讯云从业资格证或同等资格认证的优先录取,Wuhan,Technology,Tencent,2022-06-27
559,42770-CIM产品经理（BIM应用方向）,91321,http://careers.tencent.com/jobdesc.html?postId=0,,1、负责地产和建筑行业BIM在建设过程全生命周期应用的产品规划与设计； 2、负责CIM平台中BIM部分的应用产品规划与设计； 3、负责推动BIM应用的研发落地； 4、负责BIM应用在智慧城市、智慧园区、智慧建筑等方面的解决方案包装； 5、负责推动BIM应用相关生态及行业标准的制定；,1、本科或以上学历，工程管理、计算机等相关专业，5年及以上BIM应用相关产品经验； 2、熟悉工程项目管理流程，能全面掌控进度、质量、成本、档案等工作； 3、熟悉BIM相关国家标准、行业标准、企业标准； 4、熟悉BIM建模、工程量计算、施工规模拟、审图等应用； 5、熟悉Revit、NavisWorks、Synchro、Axure等软件 6、熟悉数据模型、微服务架构、有大型开发平台经验优先； 7、有国内或国际大型工程项目BIM工作经验优先； 8、有较强的逻辑思维、换位思考能力，具有较强的书面表达能力和口头沟通能力，有宣讲培训等产品运营经验优先。,Beijing,Product,Tencent,2022-06-27
560,46501-产业云基地高级运营经理（深圳）,87107,http://careers.tencent.com/jobdesc.html?postId=1470351147565850624,,1， 负责腾讯产业云基地的运营管理，借助政府相关政策与补贴，组织本地运营合作伙伴与生态产品合作伙伴共同服务区域内中长尾企业上云上平台，持续提升本地公有云收入。 2， 洞察区域产业需求，整合内外部产业生态资源，在基地策划和落地产业人才培训、创新大赛、技术沙龙等多种形式的生态运营活动，推动本地产业数字化发展。 3， 针对政府对基地的相关要求，拉通腾讯内部相关资源投入，管理考核运营合作伙伴达成运营指标，提升政府客户满意度。,1，3年以上云计算行业经验，熟悉国内外主流云厂商在政企生态领域的策略与打法，对产业云基地类项目有落地和运营实操经验者加分。 2，有运营合作伙伴管理、产品推广策略、渠道策略、数据分析方面经验优先。 3，心态开放，目标清晰，沟通能力强，具备较强的逻辑思维及分析能力，通过腾讯云从业资格证或同等资格认证优先。,Shenzhen,Product,Tencent,2022-06-27
561,15575-《王者荣耀》数值策划（成都）,83517,http://careers.tencent.com/jobdesc.html?postId=1437239670969737216,,负责王者赛事的英雄 / 战场平衡，包括英雄的数值调整、战场的时长节奏、对抗节奏控制等； 负责提高赛事的观赏性，以战术、英雄、对抗博弈的丰富性拔高比赛的赛事观赏； 同KPL / 职业选手 / 教练进行长期沟通，了解战队的最新打法及现有困难，帮助比赛完成造星的专项。,至少1年以上的数值工作经验； 需要熟悉至少两款以上MOBA产品，有深度的体验； 能够承担一定压力、易沟通、逻辑思维、数值敏感，工具掌握等能力较强； 热爱游戏行业，游戏体验丰富。,Chengdu,Product,Tencent,2022-06-27
562,15575-《王者荣耀》商业化系统运营（成都）,80953,http://careers.tencent.com/jobdesc.html?postId=1417125674560266240,,商业化内容也是游戏体验的一部分，可以满足不同类型用户的差异化、个性化体验追求，提供美好的情绪体验，为用户创造价值。 该岗位基于项目年度目标和策略，负责商业化相关的系统功能设计、开发及迭代运营，包括已有体验的迭代升级、新的商业化玩法体验探索等； 积极关注市场动态、社区用户反馈等，思考并洞察到真实的用户诉求，为新的商业化体验拓展做好日常积累； 希望通过有温度有情感的高品质内容带给用户美好的过程体验。,熟悉王者荣耀(王者及以上段位)，有3年以上游戏商业化策划或运营经验； 关注情感化体验设计，擅长叙事或美学包装等感性思考； 学习能力强，对新鲜事物抱有强烈的好奇心，有较强的逻辑思考能力，善于洞察本质； 有良好的团队合作精神，较强的沟通能力和抗压能力，能敏感地发现问题，并推动问题解决。,Chengdu,Product,Tencent,2022-06-27
563,ZL-商业分析总监（游戏方向）【HR-CDG】,88958,http://careers.tencent.com/jobdesc.html?postId=1493056936218730496,,"Analyze new business models or innovative Internet applications, and identify potential growth opportunities in game industry; Monitor competitive activities, and develop a deep understanding of consumers' needs, attitudes, and usage of specific Internet services; Provide strategic analyses and recommendations over a broad range of management issues at corporate and business unit level; Participate in annual / quarterly business planning and reviews; Facilitate execution of key initiatives across business units and functions","This position requires at least 5 years of work experience; Outstanding academic record and internship experience; Management consulting or corporate internal consulting background would be a plus; Strong leadership potential as demonstrated by various types of achievements; High level of integrity, dedication and motivation; Passion for the Internet; Distinctive problem-solving skills and business sense; Excellent communication and interpersonal skills; An effective team player; Fluency in oral and written English",Shenzhen,Strategy & Investment,Tencent,2022-06-27
564,ZL-商业分析经理（微信方向）,73127,http://careers.tencent.com/jobdesc.html?postId=1363667001821634560,,1. 监测海内外社交内容行业动态，分析洞察市场趋势，识别新领域新机会，为业务负责人提供战略性发展方向指引建议 2. 跟踪竞品发展态势和产品动向，洞察用户需求变迁，支持团队为公司和业务相关部门提供战略分析，配合业务团队制定策略，牵引落地 3. 定期对业务进行经营分析和诊断，识别关键问题并提出改进举措； 4. 协助项目的推进执行,1. 3年以上工作经验，具咨询、互联网等从业经验，熟悉国内外社交内容产品优先； 2. 具备较强的信息整合和分析能力，具备一定战略思考能力；熟悉各种行业研究的数据源，善于从数据中洞察有价值的商业信息，并能撰写洞察清晰、逻辑性强的报告。 3. 成熟度高，具备出色的人际沟通与写作能力，高度的自驱力与推动力，以解决问题为目标 4. 好奇心强，对互联网行业有热情，中英文口语和书写流利,Guangzhou,Strategy & Investment,Tencent,2022-06-27
565,31504-专有云平台交付运维工程师（CSIG全资子公司）,90130,http://careers.tencent.com/jobdesc.html?postId=1509440879536906240,,1、负责私有化软件交付整体规划和部署方案的设计，在客户现场进行产品交付、发布变更、运维工作，跟进包括但不限于产品的安装、部署、调试、变更、应急响应、故障恢复等； 2、协助完成客户业务数据迁移、咨询解答、产品培训、现场技术指导、故障分析和排除及后期容器平台运维工作； 3、完成面向客户的技术交流、方案编写，并能与客户就相关问题进行直接深入沟通，能了解客户业务需求，提供解决方案及技术建议方案； 4、负责编写和审核交付 / 运维手册，对接合作伙伴的沟通和培训，培养出高质量的交付合作团队； 5、负责产品交付规划、部署问题跟踪与管理，推进部署 / 运维自动化工具开发，提高部署 / 运维效率和质量；,1、 本科及以上学历，计算机或相关专业； 5年以上Linux运维工作经验，并有100台以上Linux服务器运维经验； 2、 熟悉Linux内核，对内核网络、存储、文件系统、内存、调度器，Cgroup等模块之一有过相关实践； 3、 对KVM / Xen等虚拟化技术有过了解；熟悉分布式系统理论，有大规模分布式存储系统架构经验； 4、 熟练使用Linux底层工具链，了解其原理，熟悉某一CPU体系结构，熟悉底层性能调优，对网络 / 存储等协议栈以及协议精通； 5、 熟悉TCP / IP协议，二层三层协议，熟悉OSPF、BGP等动态路由协议，了解IPSec VPN、SSL VPN、NAT、MPLS原理，有较强的分析故障排查能力； 6、 精通docker和kubernetes的搭建和使用，熟悉helm使用；且拥有大规模K8S集群运维经验，有k8s问题定位能力； 7、 熟悉prometheus监控系统的使用；了解k8s CNI网络模型和分布式存储CSI实现； 8、 在操作系统与硬件兼容性方面经验丰富，了解硬件RAS相关经验者优先，有丰富内核故障调试经验者优先； 9、 能够熟练运用linux命令，至少具备shell / python一种脚本编写能力； 10、 有较好的表达和沟通能力，和逻辑思考能力，能够现场解决客户的问题，并能够承受一线客户的压力。 注：此岗位为腾讯集团旗下全资子公司编制岗,Xi'an,Technology,Tencent,2022-06-27
566,31504-运营开发工程师-西安（CSIG全资子公司）,90134,http://careers.tencent.com/jobdesc.html?postId=1509440883873816576,,1. 负责腾讯云私有化可观测平台的架构设计和开发，包括监控告警、自动化平台、混沌平台、巡检平台等系统的开发和维护； 2. 通过运维自动化、智能化的、工程化建设，提升运维效率和质量以及降低故障处理时长； 3. 负责编写相关的系统设计文档、使用文档，对系统质量负责。,"具备2年以上开发经验，本科以上学历； 至少精通1门开发语言：Python、Go；熟悉HTML / JS / Css以及HTTP原理，熟悉Shell、Linux开发环境。 熟悉Web开发框架（react \ vue）优先； 熟悉云原生技术栈如Docker,K8s,Devops,主流微服务框架优先； 熟悉主流开源软件如ansible,mysql,mongo,redis,rabbitmq,es,promehtues,grafana优先； 有运维自动化、监控系统、发布系统、运营支撑系统等开发经验者优先； 具有良好的学习能力、沟通能力、团队合作意识； 强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长。 通过腾讯云技术认证或同等资格认证的优先录取。",Xi'an,Technology,Tencent,2022-06-27
567,31504-专有云平台运维工程师-2（CSIG全资子公司）,90133,http://careers.tencent.com/jobdesc.html?postId=1509440882594553856,,1、参与运维支撑平台建设，开发工具，提升运营效率； 2、对线上事故进行快速响应并建立机制、平台提升处理效率； 3、数据推动运维优化，牵头技术运营的整体规划。,1、全日制本科及以上学历，2年以上系统运维或研发工作经验；有运维管理工作优先； 2、熟悉网络和系统、数据库相关技术，有较为丰富的网络、linux、mysql、redis、存储、中间件等技术经验和问题分析能力； 3、熟练掌握docker、kubernetes、elk、promethus等相关技术的使用和工作原理优先； 4、了解公有云服务体系，熟悉IaaS、PaaS、SaaS等；具备python或golang开发能力优先。 5、具有良好沟通能力和服务意识，能够独立解决项目的问题，善于总结和编写文档； 有激情，较强的学习能力，高度的责任心、良好的沟通技巧和团队合作精神。 注：此岗位为腾讯集团旗下全资子公司编制岗位,Xi'an,Technology,Tencent,2022-06-27
568,31504-综合服务管理岗（CSIG全资子公司）,90136,http://careers.tencent.com/jobdesc.html?postId=1509443168779640832,,1、负责技术服务管理体系建设，包括运营管理、服务标准、SLA的制定和落地等； 2、定期对运营管理数据进行分析及汇报，及时发现潜在的风险并推动改进与提升； 3、监控服务流程、服务标准落地和SLA等的运行情况，形成数据分析和整改报告; 4、负责日常工具需求的梳理和推动实现；,1、本科及以上学历，计算机或相关专业；熟悉云计算相关技术，能够理解IT技术文档与技术术语； 2、有3-5年中大型IT企业服务管理经验优先； 3、有丰富的服务运营管理、流程设计、标准制定和运营优化经验；对ITIL、ITSM等工具和方法论有较深入的理解和实战经验； 4、具备较强的跨部门沟通协作能力，工作主动，细致严谨，条理清晰； 注：此岗位为腾讯集团旗下全资子公司编制岗位,Chongqing,Technology,Tencent,2022-06-27
569,31504-服务客情管理岗（CSIG全资子公司）,90137,http://careers.tencent.com/jobdesc.html?postId=1509443169777885184,,1、负责客情管理体系建设，建立相应的流程机制，确保风险可控； 2、负责客情风险识别，牵头组织日常客情关系监控、维系 3、重大突发客情处置，推动问题解决，稳定客情，回访客户，故障报告输出等；,3、重大突发客情处置，推动问题解决，稳定客情，回访客户，故障报告输出等； 能力要求： 1、本科及以上学历，计算机或相关专业；熟悉云计算相关技术，能够理解IT技术文档与技术术语； 2、有3-5年IT服务管理、客户投诉处理经验优先； 3、熟悉客情风险管理流程，了解故障管理、舆情处置流程 4、具备较强的客户沟通和安抚能力，工作主动，细致严谨，条理清晰； 注：此岗位为腾讯集团旗下全资子公司编制岗位,Chongqing,Technology,Tencent,2022-06-27
570,19511-腾讯游戏战略分析经理（深圳）,88509,http://careers.tencent.com/jobdesc.html?postId=1485432978359197696,,关注了解全球游戏及内容行业动态，提供行业生态动向的策略分析； 针对国内外游戏或其他娱乐内容行业，负责研究内容生产的组织模式、流程及内部管理； 结合外部研究和腾讯游戏内部情况，定制组织管理相关建议并推动立项落地； 针对游戏研发和运营中各环节（包括市场推广、用户服务等）的痛点问题，定制解决方案，并推动方案的落地实施。,3年以上咨询行业或相关分析工作经验； 具备优秀的分析及解决问题能力，具备良好的沟通表达能力和团队合作精神，关注战略在组织内的高效落地执行，并具备较强抗压能力； 热爱、熟悉游戏及内容行业，能够长期从事游戏及内容行业相关的工作； 具有管理优化项目、PMO项目管理办公室落地推动经验者优先； 具有优秀的英语能力优先：能够熟练地基于英语内容展开研究，与海外团队进行沟通者优先。,Shenzhen,Strategy & Investment,Tencent,2022-06-27
571,31504-云产品业务运维（CSIG全资子公司）（重庆）,90122,http://careers.tencent.com/jobdesc.html?postId=1509433444940128256,,1、通过新技术研究及架构优化，不断降低单位运营成本； 2、通过对基础设施调整、IDC容灾、服务容错、监控设计和链路优化等提升业务质量； 3、通过落地DevOps流水线、发布变更运营工具等提升运营效率； 4、深入理解各产品架构，解决故障隐患及性能瓶颈,1、计算机或相关专业本科或以上学历； 2、熟练使用Linux / unix操作系统，精通Shell编程，并熟练掌握Perl、PHP、Python之一的编程，熟悉TCP / IP、HTTP等协议，有良好的网络、存储、安全、计算机体系结构方面的知识； 3、熟练掌握docker、kubernetes、elk、promethus等相关技术的使用和工作原理优先； 4、具备系统均衡容灾设计，有大型集群维护经验者优先； 5、责任感强，有良好的服务意识与团队合作意识； 6、有较强的问题分析与解决能力，沟通能力强，有项目推动 / 运维流程工具建设经验者优先。 通过腾讯云从业资格证或同等资格认证的优先录取 注：此岗位为腾讯集团旗下全资子公司编制岗位,Chongqing,Technology,Tencent,2022-06-27
572,31504-PaaS产品交付运维工程师（CSIG全资子公司）,90131,http://careers.tencent.com/jobdesc.html?postId=1509440880568705024,,1. 负责私有化软件PaaS类产品(容器 / 中间件 / 云开发 / 行业应用框架产品等)的交付运维工作，推进产品交付服务能效提升； 2. 完成对应产品的交付方案制定、评审、工单技术服务支持、现场项目攻坚等工作。 3. 面向客户的技术交流、方案编写，并能与客户就相关问题进行直接深入沟通，能了解客户业务需求，提供解决方案及技术建议方案。 注：此岗位为腾讯集团旗下全资子公司编制岗位,"1. 本科以上学历，计算机相关专业，三年以上开发 / 交付 / 运维经验，扎实的计算机基础，熟悉linux操作系统、TCP / IP网络协议等； 2. 熟练使用shell / Python / Java / go中至少一门语言，有K8S、中间件、数据库、大数据类产品交付运维背景优先； 3. 掌握容器Docker和Kubernetes的使用，有规模化实战运维经验者优先; 4. 熟悉常见web server、中间件、大数据、数据库等组件的维护使用，能够熟悉搭建、使用、运维、参数调优,对其中2~3项架构有较深入的理解； 5. 具备良好的分析解决问题能力，能独立承担任务； 6. 良好的沟通表达能力与自我驱动能力。 注：此岗位为腾讯集团旗下全资子公司编制岗位",Xi'an,Technology,Tencent,2022-06-27
573,31504-平台运营开发工程师-西安（CSIG全资子公司）,90140,http://careers.tencent.com/jobdesc.html?postId=1509450543347539968,,1、负责腾讯云IAAS基础设施运营平台系统的架构设计和开发，包括监控告警、自动化平台、运营分析、大数据处理集群等系统的开发与维护； 2、通过运维自动化、智能化的建设，提升腾讯云运维效率与质量； 3、通过机器学习、海量数据处理等相关技术，支持腾讯云智能化运维及精细化运营。 注：此岗位为腾讯集团旗下全资子公司编制岗位,1、具备2年以上开发经验，本科以上学历； 2、至少精通1门开发语言：Python、C / C++、Go； 3、熟悉Linux开发环境，熟悉MYSQL或其他大型数据库，熟悉Web开发框架优先； 4、有运维自动化、监控系统、发布系统、运营支撑系统等开发经验者优先； 5、有海量数据处理、机器学习相关开发经验者优先； 6、具有良好的学习能力、沟通能力、团队合作意识； 7、强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长。,Xi'an,Technology,Tencent,2022-06-27
574,31504-技术服务支持岗（CSIG全资子公司）,90138,http://careers.tencent.com/jobdesc.html?postId=1509443170675466240,,1、负责知识运营管理，对FAQ问题进行分类和分析，搭建智能客服在线服务知识库，提升之智能客服能力 2、负责流程规范建设，监控服务流程、服务标准落地和SLA等的运行情况，形成数据分析和整改报告; 3、负责质量管理体系建设，监控度量日常服务过程，针对服务结果落地KPI考核,1、本科及以上学历，计算机或相关专业；熟悉云计算相关技术，能够理解IT技术文档与技术术语； 2、有3-5年IT服务管理体系的运营管理经验和项目管理经验优先； 3、有智能客服建设和运营经验优先，熟悉各类服务场景知识的生产，并掌握构建各类知识树和知识图谱的实践经历和方法论； 4、具备较强的跨部门沟通协作能力，工作主动，细致严谨，条理清晰； 注：此岗位为腾讯集团旗下全资子公司编制岗位,Chongqing,Technology,Tencent,2022-06-27
575,41310-PUBGM设计项目管理,83955,http://careers.tencent.com/jobdesc.html?postId=1440989706530594816,,1、负责PUBG MOBILE的品牌相关的宣传物料的项目管理工作 2、在营销项目中，能够根据品牌策略和创意、清楚给出执行解决方案 3、负责设计团队各业务分支日常项目管理,1、有相关广告行业、游戏行业的创意设计的相关项目管理或制片的工作经验。 2、具有较强的责任心和耐心，保质保量 3、对于外部合作制作资源有自己深刻的理解，并能够不断的开发新的制作资源。根据不同的项目给到合适的最优方案 4、面对复杂的任务中要有条理性，能够科学的管理自己的工作模式，以适应多线程任务。 5、要有预算管理的能力，在面对不同的项目中，要能理性客观的分析预算报价，给到团队合理的判断。,Shenzhen,Product,Tencent,2022-06-27
576,15585-黎明觉醒-资深战斗策划(深圳),90175,http://careers.tencent.com/jobdesc.html?postId=1510167522022793216,,1. 射击品类游戏的战斗系统设计，包括枪械、技能、战术道具和相关系统的设计，以及相关美术资源的品质把控； 2. 负责战斗系统的平衡性设计和调整； 3. 负责射击品类游戏的关卡设计与制作，能稳定产出有创意高品质的关卡内容。,1. 1年及以上的战斗、关卡制作经验； 2. 深入体验或研究过2款以上的射击品类游戏者优先； 3. 熟悉游戏开发中美术资源制作流程，并且对美术品质有一定的把控力； 4. 有射击品类游戏的开发经验优先；,Shenzhen,Product,Tencent,2022-06-27
577,15611-洛克王国手游引擎图形工程师（深圳 / 北京）,87322,http://careers.tencent.com/jobdesc.html?postId=1471673694504886272,,1、UE4大世界卡通渲染管线梳理 2、UE4大世界性能优化相关工作 3、针对需求定制增改优化UE引擎底层功能 4、UE4大世界相关工具开发,1、3年以上游戏开发经验，有游戏引擎开发经验者更佳 2、熟悉游戏相关图形或者引擎技术，关注图形学前沿技术 3、游戏中图形相关性能优化及兼容性问题解决 4、具有良好的团队协作精神,Shenzhen,Technology,Tencent,2022-06-27
578,40164-NXS 引擎主程序,81229,http://careers.tencent.com/jobdesc.html?postId=1419667482448240640,,本科及以上学历，精通C++，具备扎实的数据结构和算法基础 具备工作环境下中英双语沟通的能力 具备良好的3D数学和计算机图形学基础知识； 深刻理解3D游戏引擎架构，精通引擎接口和游戏制作流程； 5年以上3D引擎（Unreal / Unity等）开发经验，有主导过核心模块的开发和优化经验； 对游戏引擎相关开发有热情，熟悉游戏技术趋势和最新技术引擎应用； 责任心强，善于沟通，有2年以上技术管理经验； 熟悉主机或移动端GPU / CPU架构，有3A游戏开发经验者优先。,负责引擎功能开发； 负责程序团队的管理； 负责制定团队引擎开发标规范； 负责领导和培养团队新人。,Shanghai,Technology,Tencent,2022-06-27
579,40164-NXS 客户端主程(上海),78411,http://careers.tencent.com/jobdesc.html?postId=1397874661617836032,,"负责动作射击游戏玩法相关内容的研发； 产品需求的技术可行性评估, 程序框架及技术方案的设计和具体实现； 协助美术 / 策划建立高效的游戏内容制作流程, 完善并持续优化工具链。","3年以上游戏客户端研发经验,对游戏研发技术领域有较为全面的了解和关注； 熟悉软件研发领域知识(计算机系统, OS、数据结构等), 熟练使用C / C++, lua; 具备良好的问题分析解决能力, 责任心强, 有较高的自我管理和任务跟进推动能力； 有UE4引擎开发游戏的实践经验的优先； 出色的学习和技术研究应用的能力, 良好的团队协作能力, 善于沟通, 敬业专注；",Shanghai,Technology,Tencent,2022-06-27
580,40164-NXS 服务器主程序,74238,http://careers.tencent.com/jobdesc.html?postId=1368771293586923520,,实现服务器框架设计，带领游戏服务器开发团队，制定团队目标， 分配、指导、验收团队成员的工作； 主导游戏产品玩法需求的技术可行性评估，技术方案的设计和实现； 建立和策划、运营、客户端等团队之间良好的合作关系，完善游戏产品，打磨用户体验。,5年以上游戏服务器开发经验，有成功上线的高品质项目，对游戏研发技术领域有较为全面的了解； 负责架构、搭建与管理后台开发团队，对服务器端承载，稳定性，安全性，效能等多方面质量负责； 精通C / C++开发 / 设计经验；熟悉常用数据库Mongodb、MySQL、oracle、MSSQL 的设计、开发和优化（至少一种）;熟悉服务器端通信技术，对海量、高性能、分布式开发有经验者优先。,Shanghai,Technology,Tencent,2022-06-27
