,title,internal_id,url,description,responsibilities,qualifications,location,type,company,publish_date
105,高级工程师A,239560,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239560,,1、负责物流某一产品 / 服务的物流流程设计与优化，完善流程与运作规范，建立详细指引，设计流程KCP关键控制点。 2、对于关键客户、项目、产品等重大需求特点，设计业务解决方案与业务系统服务，适配运用数字化工具与产品并实施落地，配置各项业务活动的规则与策略，支撑业务进行资源的高效调度和运作，支撑物流服务交付目标达成； 3、对于运输 / 仓储流通 / 逆向等领域业务中的关键问题进行根因分析、进行业务运作优化，优化系统功能，系统的解决重复性问题 4、洞察业界优秀经验实践，参与制定华为物流业务中长期规划与技术路标。,业务技能要求： 1、熟悉物流某一领域的业界先进实践与发展方向，掌握对应领域的常见技术标准与规范。 2、熟练掌握物流某一领域的业务场景与流程规范，熟悉上下游的业务关联与影响，了解物流领域的流程与应用架构极其设计方法，了解物流信息系统设计、开发、维护的能力， 3、掌握物流网络、供应链管理、国际物流、生产流通物流、物料搬运、物流信息系统及设计、物流信息技术，EIQ、SLP等物流专业数字化分析工具与方法 4、掌握使用ABC、鱼骨图、EIQ等数字化分析方法，优化适配作业活动流程与工具，并支撑具实施落地。 5、理解物流某一领域内各系统的数据架构、数据流；理解数据处理技术与工具，熟悉运筹学、数理统计、数据治理等某一方向基本知识 专业知识要求： 1、了解业界供应链物流系统架构设计及主流软件的应用； 2、熟悉供应链与物流管理，运输管理、仓储管理、逆向管理、进出口业务与遵从、物流工艺 / 工程、物流技术装备、物流成本及质量管理、合作资源管理等物流领域进阶知识和方法； 3、熟悉产品知识、 BCM、变革与项目管理、LTC、ISC、IFS等流程，理解物流与上下游环节协同的关键节点； 4、熟悉服务化产品理念及架构设计。,中国/东莞,供应链族,Huawei,2022-06-15 00:00:00+08:00
106,项目经理(专业类）,239503,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239503,,"1、代表处 / 系统部合同履行及端到端交付管理的客户界面负责人，对交付与服务客户满意度管理、客户关系管理、客户需求管理、项目履行、商解执行、经营效率、流程内控负责，并通过深入挖掘客户网络及运维痛点，有效支撑市场拓展及解决交付问题提升客户满意度。 2、理解客户战略及商业行为，理解合同，识别关键风险条款，设计关键风险条款改进方案，主导交付条款谈判， 做好假设及风险管控，提升系统部整体运营资产效率； 3、保障客户满意度, 遵照客户声音及投诉等流程要求及时处理客户问题，推动客户声音闭环 、客户投诉及非技术问题闭环。制定系统部TOP N改进策略和方案，管理客户合理的期望和需求；并持续维系客户关系及改善、建立互信双赢的合作伙伴关系； 4、协助市场，洞察客户在商业 / 网络 / 运营 / 运维方面的战略和痛点，能够准确理解客户需求和痛点，面向客户呈现价值，并通过运营实现持续销售，牵引新的机会点； 5、负责交付策略及方案定制，通过数字化工具和方案落地，改善交付效率，提升交付竞争力，增强客户粘性，做好交付价值呈现及价值变现； 6、理解客户网络运维痛点，做好网络保障的例行履行及业务连续性，无网络安全和信息安全事故，守护存量维保价位。",业务技能要求： 项目管理知识、分包商管理等技能；熟练使用公司IT工具 专业知识要求： 销售通用知识、项目管理通用知识、网络安全、客户关系拓展、合同履行、经营&财经类知识 其他要求： 英语四级；从事区域大型项目管理、交付项目TD等交付工作2年以上,中国/北京,服务族,Huawei,2022-06-15 00:00:00+08:00
107,运维管理专员（专业类）,239678,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239678,,1、地市交付与服务主任是地市交付与服务业务的管理者；负责地市的网络安全和网络质量保障、项目管理、合作管理、满意度管理、区域团队管理等，同时要求懂网络、懂技术、懂客户、懂管理、懂经营、懂竞争、会沟通、会呈现等，对地市交付与服务业务的经营目标、市场成功及客户满意度负责，确保服务业务持续发展。 2、网络安全与质量保障：组织看网讲网，推动EOS等老旧产品退网，推动客户解决网络隐患，提升网络健壮性；主动管理地市的网络日维及重大变更操作，策划组织重保活动，进行网络安全主动管理；组织区域重大事故快速恢复、客户安抚；从客户痛点出发，结合公司商解方案，帮助客户提升运维效率；组织进行网络洞察，就无线网络性能与客户进行对标，牵引内外部诉求达成一致，协调资源，完成网络质量提升目标。 3、区域项目管理：对区域项目的范围、进度、质量、资源、团队、风险进行管理，确保代表处的交付策略在地市落地；负责区域的专业服务订货、收入确认、POD / PAC / FAC里程碑达成，支撑代表处订收回经营目标达成。 4、区域交付与服务客户满意度管理：对区域建维客户的满意度负责，对建维口客户的后评估打分结果负责；负责区域客户的声音收集、跟踪直至闭环。 5、区域合作现场管理：负责区域合作现场人员的出入场及日常规范运作管理，对区域合作团队现场运作质量、交付结果进行评估并应用。 6、区域交付与服务团队建设及管理：负责区域虚拟团队的建设及日常管理，对区域团队人员进行排兵布阵，跟踪落地执行结果。,业务技能要求： 具备熟练使用公司相关IT系统的技能。 专业知识要求： 掌握项目管理、运维管理、网络质量管理、团队管理等相关知识；熟悉公司相关流程； 其他要求： 工作年限：三年以上一线交付与服务业务经验，客户满意度、客户关系运作经验。语言证书要求：英语四级,中国/兰州,服务族,Huawei,2022-06-15 00:00:00+08:00
108,助理工程师（专业类）,239720,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239720,,负责各类合作伙伴业务的日常运营工作，如Program日常运营管理、合作伙伴能力提升支持、大型伙伴联合营销活动协同、合作伙伴社区建设、合作伙伴活动管理、验收文档处理、合作伙伴业绩核算、激励计算、IT支撑。,业务技能要求： 能够参与制定多领域（行业、区域、类型）的伙伴政策架构或主导政策在本领域的有效适配与执行 专业知识要求： 掌握渠道体系运作相关知识，并对业界渠道运营政策有深入了解 其他要求： 工作细致认真；有主动性；有强烈的责任意识,中国/呼和浩特,销售族,Huawei,2022-06-15 00:00:00+08:00
109,项目经理(专业类）,239530,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239530,,"1、代表处 / 系统部合同履行及端到端交付管理的客户界面负责人，对交付与服务客户满意度管理、客户关系管理、客户需求管理、项目履行、商解执行、经营效率、流程内控负责，并通过深入挖掘客户网络及运维痛点，有效支撑市场拓展及解决交付问题提升客户满意度； 2、理解客户战略及商业行为，理解合同，识别关键风险条款，设计关键风险条款改进方案，主导交付条款谈判， 做好假设及风险管控，提升系统部整体运营资产效率； 3、保障客户满意度, 遵照客户声音及投诉等流程要求及时处理客户问题，推动客户声音闭环 、客户投诉及非技术问题闭环。制定系统部TOP N改进策略和方案，管理客户合理的期望和需求；并持续维系客户关系及改善、建立互信双赢的合作伙伴关系； 4、协助市场，洞察客户在商业 / 网络 / 运营 / 运维方面的战略和痛点，能够准确理解客户需求和痛点，面向客户呈现价值，并通过运营实现持续销售，牵引新的机会点； 5、负责交付策略及方案定制，通过数字化工具和方案落地，改善交付效率，提升交付竞争力，增强客户粘性，做好交付价值呈现及价值变现； 6、理解客户网络运维痛点，做好网络保障的例行履行及业务连续性，无网络安全和信息安全事故，守护存量维保价位。",业务技能要求： 项目管理知识、分包商管理等技能；熟练使用公司IT工具 专业知识要求： 销售通用知识、项目管理通用知识、网络安全、客户关系拓展、合同履行、经营&财经类知识 其他要求： 英语四级,中国/北京,服务族,Huawei,2022-06-15 00:00:00+08:00
110,营销工程师B（专业类）,239738,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239738,,1、基于中国政企业务营销框架与营销策略，适配制定区域年度营销规划、营销预算与管理、媒体策略制定与媒体关系维护、区域营销流程与内控管理、营销活动项目管理与执行，对营销规划的落地效果与合规性负责，保证年度营销效果达成，以营促销。 2、基于营销框架结合区域BP，制定年度营销规划，拉通全行业、全产品在区域营销的落地管理与执行，提升客户感知，挖掘潜在商机，以营销手段挖掘潜在线索、促进项目孵化与目标达成。 3、结合年度业务规划，制定年度营销预算、进行项目费用管理，保证营销内容输出、动作落地的合理性和合规性。 4、对接政府 / 客户 / 合作伙伴 / 协会 / 行业圈子等进行联合营销，并协助进行营销策划与落地、持续政企品牌在行业的影响力；同时完成关键营销内容 / 物料的管理与输出。 5、负责区域媒体策略制定与媒体关系维护，监测处理突发媒体危机，保持与主流媒体的日常沟通，营造良好的营商环境，持续提升品牌声量。 6、负责营销内控管理，确保营销业务遵从、流程合规。,业务技能要求： 熟练使用日常IT工具 专业知识要求： 熟悉华为视觉规范、公司营销传播主题与视觉应用等品牌类知识；熟悉营销策略与计划、营销物料开发、媒体关系管理 \ 采访 \ 新闻写作 \ 危机沟通管理、数字营销、渠道营销、数据分析与营销技术应用、市场营销理论等营销知识；熟悉产品和解决方案知识、相关行业知识；了解区域行业动态与生态 ；了解区域产业格局、友商动态；了解不同领域的营销方式及趋势；有效进行区域营销经验总结与技能传递；熟悉MTL流程及内控流程,中国/呼和浩特,营销族,Huawei,2022-06-15 00:00:00+08:00
111,中级工程师（专业类）,239286,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239286,,1、区域政企产品技能导入责任人、关键客户核心生产网络和ICT复杂解决方案的交付、维护及优化责任人。 2、承担区域产品技能导入和售前技术支持工作（DTRX），确保技术能力和可交付性。 3、负责区域关键客户核心生产网络、水平解决方案的交付方案规划设计与审核，确保低阶交付方案落地。 4、负责区域关键客户核心生产网络健康度评估、EOX管理、版本管理、重大变更专家支持以及重大事件保障，保证网络安全运行。 5、协助客户进行关键核心生产网络评估与优化、IT性能提升，提升网络性能。 6、负责客户技术方案交流，标准化方案的规划与设计，交付与维护项目的技术管理，对项目的技术方案可行性负责。 7、负责专业服务的交付，包括维护现场高级技术支持、网络优化和性能提升等，对网络安全负责。 8、负责客户以及伙伴的技术赋能和培训，持续提升伙伴的自交付能力。,业务技能要求： 沟通能力：能与内、外部客户进行有效沟通；具备良好的客户服务意识；分析与理解力：能理解并有效分析和管理客户的技术需求等 专业知识要求： 熟悉无线、数通、机器视觉、存储等产品相关技术原理，具备丰富的工程实施、网络维护实操经验 其他要求： 有强烈的责任感，敢于冲锋,中国/广州,服务族,Huawei,2022-06-15 00:00:00+08:00
112,中级工程师(专业类）,239700,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239700,,1、区域政企产品技能导入责任人、关键客户核心生产网络和ICT复杂解决方案的交付、维护及优化责任人。 2、承担区域产品技能导入和售前技术支持工作（DTRX），确保技术能力和可交付性。 3、负责区域关键客户核心生产网络、水平解决方案的交付方案规划设计与审核，确保低阶交付方案落地。 4、负责区域关键客户核心生产网络健康度评估、EOX管理、版本管理、重大变更专家支持以及重大事件保障，保证网络安全运行。 5、协助客户进行关键核心生产网络评估与优化、IT性能提升，提升网络性能。,业务技能要求： 沟通能力：能与内、外部客户进行有效沟通；具备良好的客户服务意识 分析与理解力：能理解并有效分析和管理客户的技术需求等 专业知识要求： 熟悉数通产品相关技术原理，具备丰富的工程实施、网络维护实操经验；精通路由、MPLS、VXLAN、网络安全、WLAN相关技术； 其他要求： 有强烈的责任感，敢于冲锋,中国/呼和浩特,服务族,Huawei,2022-06-15 00:00:00+08:00
113,SEQ平台工程师（专业类）,239217,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239217,,1、完成项目交付中产品技术工作，执行技术作业，确保安全交付。按照流程和指导书进行操作，平台环境部署，软件版本安装调测，用例测试和问题定位，对站点交付结果负责，对客户确定性技术工作高质量完成，保障网络稳定和安全运行，不断提升作业效率。 2、完成站点勘测、产品设计、安装、验证、集成、调测、用例测试（接口测试，功能测试，性能测试，稳定性测试等）、调整、验收和工程转维，支撑割接上线，以及上线保障； 3、负责优化站点建设流程和工序，并培训和指导各施工队伍按照规范、标准的站点建设流程施工，协助PM做好站点层面的各项事务管理，组织协调好各工种、各职能工程师和合作方资源，完成产品在站点层面的交付； | | 产品项目维护中的技术风险识别及技术问题受理 / 处理，参与事故快速恢复和技术方案实施，跟踪和关闭，网络预警 / 整改实施，日常监控和定期巡检，应急演练和实施，网络变更方案的制作，实施，监控，服务报告的验收，维护网络拓扑、保障网络稳定，定期梳理局点主要业务流程，获取客户的接入授权，变更审批； 4、解决单产品简单技术问题，总结案例和服务需求。 5、负责商解方案、项目交付和维护业务的技术支持工作，如商解方案支撑、客户咨询及宣讲、重大技术问题处理、重大事故处理等，确保项目交付成功、网络稳定运作，支撑业务目标和客户满意度目标达成； 6、制定重大变更方案，按照流程和变更操作规范执行变更操作任务，严格落实“三个审批”要求，保障变更实施质量达标； 7、遵照网络巡检流程及规范开展网络巡检工作，评估网络运行状态与性能，消除隐患，提高网络安全性； 8、组织IMC人员能力导入和安全意识培养，提高IMC人员风险意识与作业规范遵从性。,业务技能要求： 具备相应产品的技术知识业务技能 专业知识要求： 具备相应产品的技术知识； 其他要求： 英语四级,中国/广州,服务族,Huawei,2022-06-15 00:00:00+08:00
114,SEQ平台工程师（专业类）,239441,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239441,,1、完成项目交付中产品技术工作，执行技术作业，确保安全交付。按照流程和指导书进行操作，平台环境部署，软件版本安装调测，用例测试和问题定位，对站点交付结果负责，对客户确定性技术工作高质量完成，保障网络稳定和安全运行，不断提升作业效率。 2、完成站点勘测、产品设计、安装、验证、集成、调测、用例测试（接口测试，功能测试，性能测试，稳定性测试等）、调整、验收和工程转维，支撑割接上线，以及上线保障； 3、负责优化站点建设流程和工序，并培训和指导各施工队伍按照规范、标准的站点建设流程施工，协助PM做好站点层面的各项事务管理，组织协调好各工种、各职能工程师和合作方资源，完成产品在站点层面的交付； 4、产品项目维护中的技术风险识别及技术问题受理 / 处理，参与事故快速恢复和技术方案实施，跟踪和关闭，网络预警 / 整改实施，日常监控和定期巡检，应急演练和实施，网络变更方案的制作，实施，监控，服务报告的验收，维护网络拓扑、保障网络稳定，定期梳理局点主要业务流程，获取客户的接入授权，变更审批； 5、解决单产品简单技术问题，总结案例和服务需求。 6、负责商解方案、项目交付和维护业务的技术支持工作，如商解方案支撑、客户咨询及宣讲、重大技术问题处理、重大事故处理等，确保项目交付成功、网络稳定运作，支撑业务目标和客户满意度目标达成； 7、制定重大变更方案，按照流程和变更操作规范执行变更操作任务，严格落实“三个审批”要求，保障变更实施质量达标； 8、遵照网络巡检流程及规范开展网络巡检工作，评估网络运行状态与性能，消除隐患，提高网络安全性； 9、组织IMC人员能力导入和安全意识培养，提高IMC人员风险意识与作业规范遵从性。,业务技能要求： 具备相应产品的技术知识业务技能 专业知识要求： 具备相应产品的技术知识； 其他要求： 产品技术交付或维护经验,中国/广州,服务族,Huawei,2022-06-15 00:00:00+08:00
115,存储与机器视觉解决方案销售经理(专业类）,239593,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239593,,1、政企专项产品售前拓展工作的执行者，负责专项产品日常售前中的产品拓展、POC测试、渠道赋能、需求管理推动、货期提拉、流程跟踪等工作成。 2、承担代表处一般客户群的专项产品拓展，执行拓展策略，通过客户机会点挖掘、需求理解、方案设计和方案引导，参与项目运作，推动所负责业务的市场目标、产品订货 / 收入等经营指标的达成。 3、面向政企合作伙伴主动规划和开展业务使能，有效提升合作伙伴售前人员能力。 4、作为项目POC测试中的接口人，负责协调人员、申请物料，到货跟踪等必要的POC测试准备和协调工作，协助项目组达成测试目标。 5、跟进业务拓展过程中的流程性事务，包括项目立项、借货管理、要货预测、货期提拉等，确保售前拓展的有序开展、流程合规。,业务技能要求： 产品解决方案设计、方案宣讲、配置报价、POC测试，具备相关项目成功经验等 专业知识要求： 熟悉数通、光、无线、存储、计算、IT、视频会议、视频监控相关领域产品知识、特性及解决方案等 其他要求： 其他（语言证书要求等）：良好的沟通协调能力，有较强的学习能力及团队合作精神，主动性强、责任心强、执行力强、工作认真细致。工作年限：2年以上ICT领域经验,中国/兰州,销售族,Huawei,2022-06-15 00:00:00+08:00
117,【专业类岗位】生产计划工程师,238976,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=238976,,标准职责 根据要货预测、产品供应能力等，制定S&OP建议计划、主计划 / 物料需求计划 / 加工计划建议、供应中心分销计划，支撑决策并落地执行17级定位：基于供需形势及产品切换路标，负责某特定产品系列或物料类别的计划例行运作（含供需信息收集、计划参数维护、计划制定、存货数据分析等），支撑计划决策，并落地执行。 | | 在供应连续性的策略指导下，收集市场需求、产品切换方案，基于供应能力，制定S&OP建议计划；制定可执行的主计划 / 物料需求计划 / 加工计划建议、供应中心分销计划，驱动制造及供应商资源准备； | | 跟进产品 / 器件等供需风险及管控措施，针对异常及时通报反馈； | | 跟踪各产品、区域计委的任务执行，协调问题的解决，确保计划及策略有效执行； | | 维护计划参数、监控计划达成情况，持续提升计划工作质量； | | 根据各产品存货经营指引、存货管理策略等，通过数据分析，识别存货风险，协助制定存货管理方案并落地执行。 自定义职责 null,业务技能要求： - 具备制定产品计划和存货分析的技能 专业知识要求： - 熟悉公司ICT相关产品相关基础知识（产品配置特点、供需形势及演进方向，版本切换），熟悉公司基本流程（IPD / LTC / SUPPLY等）； - 掌握计划方法及计划逻辑，理解计划策略、产品全生命周期计划管理方法； - 熟悉存货流转过程，掌握冗余存货处理方法。,中国/东莞,供应链族,Huawei,2022-06-14 00:00:00+08:00
118,政企产品工程师（专业类）,239132,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239132,,1、承担代表处产品拓展，执行拓展策略，通过客户机会点挖掘、需求理解、方案设计和方案引导，参与项目运作，推动所负责业务的市场目标、产品订货 / 收入等经营指标的达成。 2、面向商业市场伙伴主动规划和开展业务使能，有效提升合作伙伴售前人员能力。 3、作为项目POC测试中的接口人，负责协调人员、申请物料，到货跟踪等必要的POC测试准备和协调工作，协助项目组达成测试目标。 4、跟进业务拓展过程中的流程性事务，包括项目立项、借货管理、要货预测、货期提拉等，确保售前拓展的有序开展。,业务技能要求： 产品解决方案设计、方案宣讲、配置报价、POC测试，具备相关项目成功经验等 专业知识要求： 熟悉数通、光、无线、存储、计算、IT、视频会议、视频监控相关领域产品知识、特性及解决方案等 其他要求： 良好的沟通协调能力，有较强的学习能力及团队合作精神，主动性强、责任心强、执行力强、工作认真细致,中国/乌鲁木齐,销售族,Huawei,2022-06-14 00:00:00+08:00
119,【专业类岗位】销售与运作计划工程师,238978,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=238978,,标准职责 根据要货预测、产品供应能力等，制定S&OP建议计划、主计划 / 物料需求计划 / 加工计划建议、供应中心分销计划，支撑决策并落地执行17级定位：基于供需形势及产品切换路标，负责某特定产品系列或物料类别的计划例行运作（含供需信息收集、计划参数维护、计划制定、存货数据分析等），支撑计划决策，并落地执行。 | | 在供应连续性的策略指导下，收集市场需求、产品切换方案，基于供应能力，制定S&OP建议计划；制定可执行的主计划 / 物料需求计划 / 加工计划建议、供应中心分销计划，驱动制造及供应商资源准备； | | 跟进产品 / 器件等供需风险及管控措施，针对异常及时通报反馈； | | 跟踪各产品、区域计委的任务执行，协调问题的解决，确保计划及策略有效执行； | | 维护计划参数、监控计划达成情况，持续提升计划工作质量； | | 根据各产品存货经营指引、存货管理策略等，通过数据分析，识别存货风险，协助制定存货管理方案并落地执行。 自定义职责 null,业务技能要求： - 具备制定产品计划和存货分析的技能 专业知识要求： - 熟悉公司ICT相关产品相关基础知识（产品配置特点、供需形势及演进方向，版本切换），熟悉公司基本流程（IPD / LTC / SUPPLY等）； - 掌握计划方法及计划逻辑，理解计划策略、产品全生命周期计划管理方法； - 熟悉存货流转过程，掌握冗余存货处理方法。,中国/东莞,供应链族,Huawei,2022-06-14 00:00:00+08:00
120,Product Operation Specialist,239129,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239129,,"Ability to manage and execute the marketing strategy, campaigns, contents, etc.  Using market insights, formulate marketing strategies, and take charge of marketing planning and execution of the product's entire life cycle. Through analysis of competing products, will be responsible for selling point mining, marketing story design, multi-wave campaign planning and execution, planning and execution of other key activities, to continue to attract the attention of users, and follow-up changes based on their needs.  Digital marketing knowledge including digital ads, belowthe-line marketing, influencer marketing, and content marketing. Ability to make collaborative marketing campaigns with content providers.","Business Skills Requirements:  Managing the relations with vendors and agencies in accordance with KPIs.  Providing performance reports in a timely manner to multiple business units.  Tracking and testing the results related to ads campaign at certain intervals.  Planning, designing and executing the business development processes. Professional Knowledge Requirement: - Excellent organization, coordination, and teamwork capabilities. - Advanced level of English is a must - Self-learner, strong sense of responsibility. - Good at reporting, summarizing and presenting data, data visualization tool experience is plus. - Strong communication skills. - - Bachelor degree (preferably in quantitative departments - Familiar with internal tools (CMS, Data Entry tools etc. ) - Expert on browser and office tools - Being an IT literate is expected - Internet product operation experience is preferred",Turkey/Istanbul,营销族,Huawei,2022-06-14 00:00:00+08:00
121,【专业类岗位】采购经理,238962,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=238962,,标准职责 承担L4复杂品类原材料的供应保障工作，识别和管理供应风险，组织制定措施并推动解决，保障原材料的及时高效供应。17级定位：针对跨品类的需求变化及供应风险，制定供应保障措施并推动落地；协助制定多品类原材料存货管理方案并落地执行。 | | 承担L4复杂品类采购履行工作。负责PO下单、到货及逆向、验收付款等PO全生命周期管理； | | 管理物料供应能力，基于供需缺口，审视关键原材料、设备产能、人力等关键瓶颈，识别高风险欠料、及时预警并推动解决； | | 及时识别供应商关停并转、突发事件等导致的供应风险，组织制定措施并推动问题解决，降低影响； | | 参与DSA审核，识别交付体系短板，辅导供应商完善交付体系；组织重点供应商供应协同，针对供应问题、供应能力提升事项进行有效沟通； | | 分析供应商交付绩效差距并组织制定改善措施，牵引供应商绩效持续改进； | | 管理供应商备货策略落地，预警和管理原材料存货风险，通过协同优化业务模式，提升原材料存货效率。 自定义职责 null,业务技能要求： 掌握供需分析、关键器件 / 长单储备、DSA稽核、交付绩效管理等方法，并能够熟练运用采购履行相关IT系统 专业知识要求： 熟练掌握相关物料品类的器件知识，了解行业发展形势，掌握采购商业环境和商务模式，熟悉当地法律法规和国际贸易及进出口知识,中国/东莞,采购族,Huawei,2022-06-14 00:00:00+08:00
122,工程师A,239049,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239049,,1、完成从客户需求到软件产品定义、架构设计、开发实现（模块设计、代码编写与测试）、再到上线运营维护等产品生命周期中的各个环节； 2、创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等； 3、有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建华为在业界影响力。,业务技能要求： 1、具备丰富的应用软件开发经验，深入理解并掌握C / C++ / Java / Python / Go编程语言中的一种或多种； 2、3年及以上项目开发经验，独立承担过20K以上模块开发、维护工作，并能独立承担4K规模子系统和模块开发设计工作；有成功的软件重构实践经验，对网络安全、软件重构有深入的理解； 3、具备分布式软件开发、云计算、大数据分析、敏捷开发流程经验优先； 4、对软件工程技术有浓厚兴趣和热情，有很强的求知欲和学习能力，思路活跃。具备良好的团队合作意识和良好的跨团队沟通和协作能力。 专业知识要求： 1、计算机 / 软件工程 / 应用数学 / 大数据 / 人工智能相关专业，本科及以上学历，英语通过四级及以上； 2、熟悉C / C++ / Java / Python / Go中的至少一种，掌握常见的数据结构和算法； 3、熟悉软件工程、架构设计、网络安全及软件测试相关方法，熟悉常用设计模式； 3、熟悉数据库领域一个或多个特性的核心原理，对分布式、一致性等算法有一定理解。,中国/深圳;中国/北京;中国/上海;中国/西安;中国/成都;中国/南京;中国/苏州;中国/武汉;中国/西安;中国/东莞,研发族,Huawei,2022-06-14 00:00:00+08:00
123,Product Technology Engineer,239135,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=239135,,"1. As Product Technology Engineer of CEE&Nordic Region, be responsible for project delivery and support the delivery activities such as HLD(High Level Design), LLD（Low Level Design）, commissiong, Cutover or troubleshouting. 2. As product Maintenance Engineers, Responsible for telecommunications network maintenance, fault analysis and problem handling, and improve network performance. 3. As Product Technology Engineer, be responsible for the internal training and skills improvement of new employees.","Business Skills Requirements: 1. Have strong communication and expression skills, strong sense of service, and good work attitude; 2. Fluent in English and can be used as a working language; 3. Acceptance of travel support to different country in the region. Professional Knowledge Requirement: 1. Have basic knowledge of electronics, computer, communication, IT and other related professional. Bachelor's degree or above; 2. Work or internship experience in communications, IT and other related companies is preferred. 3. Those with relevant certifications in communications, computers, IT and other industries are preferred",Poland/Warsaw,服务族,Huawei,2022-06-14 00:00:00+08:00
125,【专业类】试制验证工程师,238911,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=238911,,1、基于试制计划，组织试制准备活动，管理产品工程设计、制造工程文件、制造要素等试制资源的齐套性，保障产品试制活动按计划开展。 2、组织实施产品DFM及制造系统的验证活动，全面识别试制问题，及时输出批次试制验证报告，支撑验证方案有效落地。 3、依据试制问题管理流程，负责提交试制问题单据，管理及回归验证试制问题，保障产品试制问题有效快速闭环 。 4、负责输出制造系统验证报告，管理试制交付套件的输出情况，组织试制交接活动，支撑新产品顺利转产。 5、在试制工程师指导下优化试制流程、标准与规范，对试制验证活动的规范性负责，支撑试制高效、高质运作。,知识： 1、了解ICT产品知识、设计原理、工艺路线、制造应用场景等专业知识。 2、了解制造系统常见质量问题及制造工艺难点等。 技能： 1、熟悉产品制造设计与导入业务流程、产品制造设计与导入工程方法，掌握DFM设计基线与相关规范。 2、了解精益生产 / 质量工程 / 项目管理等方法，包括不限于精益价值流分析、精益SDR&3P方法、6西格玛质量工程方法等。 能力： 1、具备DFM需求分析和设计能力，掌握验证技术、验证方案和验证用例设计能力，具备沟通和推动问题解决能力、项目管理能力。,中国/东莞,制造族,Huawei,2022-06-14 00:00:00+08:00
126,【专业类岗位】订单履行工程师,238934,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=238934,,标准职责 供应中心面向区域中大型代表处 / 国家端到端订单履行方案的执行人，为所负责国家 / 代表处提供一站式订单履行服务；基于预测、ATP和下单匹配供需，组织解决订单履行过程中的供需异常，保障客户订单及时齐套交付。 | | 基于区域项目安装 / 要货计划，管理订单备货和发货计划，监控和管理订单履行过程，组织解决履行过程中的供需异常，执行从订单生成到SO关闭的端到端订单履行方案，包含有效发货 / 异常 / 变更 / 进度 / 计划 / 承诺管理，对合同 / PO的及时齐套到货负责。 | | 管理生产配置异常，订单生成时识别与拦截，履行中快速定位并闭环管理，为后端提供清洁输入。 | | 面向产品维度基于规则进行产品与订单的动态匹配及通用规则下的资源调配，对涉及资源分配的订单，基于调配结果审视齐套性并调整承诺。 | | 基于国家特性 / 代表处业务特点及自身经验沉淀，梳理所负责国家 / 代表处订单业务痛难点，协同订单统筹专家，参与业务改进和流程优化方案的制定及实施。 | | （17级要求）综合考虑需求 / 供应 / 物流等约束条件，组织落地S / A / B级及重难点项目订单履行方案，或独立承担中型项目的端到端订单履行，对所负责的国家 / 代表处供货满意度及供货周期、质量、成本等负责。 自定义职责 null,业务技能要求： 1、风险识别与应对能力：具有一定的逻辑思维、系统化思维能力，做事有轻重缓急，能有效识别业务合规与遵从风险，刷新所在业务预案，并组织本环节实施。 2、沟通与影响力：能理解、判断客户需求，并作出操作选择；能跨业务环节推动需求和升级问题得到处理。 专业知识要求： 1、掌握订单履行、订单交易、商务、贸易等基础知识； 2、了解上下游、周边强相关领域（计划、采购、制造、研发、市场）的基础知识和业务运作逻辑以及合同履行业务与它们的相互关系及影响,中国/东莞,供应链族,Huawei,2022-06-14 00:00:00+08:00
